id,pos_label

2_ASD_26_1,2
0_WW_17_2,0
0_WW_35_1,0
0_WW_36_2,0
2_ASD_13_2,2
0_WW_30_1,0
2_ASD_2_2,2
2_ASD_30_2,2
0_WW_19_1,0
0_WW_31_2,0
0_WW_14_1,0
2_ASD_9_1,2
0_WW_44_1,0
0_WW_39_1,0
2_ASD_17_1,2
0_WW_24_2,0
2_ASD_28_1,2
2_ASD_28_2,2
2_ASD_41_2,2
0_WW_21_2,0
2_ASD_39_1,2
2_ASD_47_2,2
0_WW_1_2,0
0_WW_28_2,0
0_WW_33_2,0
0_WW_46_2,0
2_ASD_31_1,2
2_ASD_24_1,2
2_ASD_43_2,2
2_ASD_24_2,2
2_ASD_40_2,2
0_WW_3_2,0
0_WW_4_2,0
0_WW_48_2,0
0_WW_20_2,0
0_WW_9_1,0
0_WW_36_1,0
9_SW_35_1,9
0_WW_40_1,0
2_ASD_20_2,2
0_WW_34_1,0
2_ASD_18_2,2
2_ASD_48_1,2
0_WW_8_2,0
0_WW_5_2,0
2_ASD_10_2,2
2_ASD_1_2,2
2_ASD_34_1,2
2_ASD_11_2,2
2_ASD_21_1,2
2_ASD_7_2,2
2_ASD_20_1,2
0_WW_25_1,0
2_ASD_45_2,2
2_ASD_3_2,2
0_WW_27_1,0
2_ASD_12_2,2
0_WW_24_1,0
0_WW_35_2,0
2_ASD_3_1,2
0_WW_42_2,0
0_WW_47_2,0
2_ASD_49_1,2
2_ASD_16_1,2
0_WW_31_1,0
0_WW_39_2,0
0_WW_37_1,0
0_WW_18_2,0
0_WW_12_1,0
2_ASD_46_2,2
0_WW_32_2,0
2_ASD_2_1,2
0_WW_26_1,0
2_ASD_8_1,2
0_WW_1_1,0
0_WW_13_1,0
0_WW_45_2,0
0_WW_3_1,0
0_WW_22_2,0
0_WW_26_2,0
0_WW_28_1,0
2_ASD_0_2,2
0_WW_38_2,0
0_WW_15_1,0
0_WW_7_2,0
2_ASD_21_2,2
0_WW_49_2,0
0_WW_34_2,0
2_ASD_41_1,2
2_ASD_15_2,2
0_WW_43_2,0
0_WW_11_2,0
2_ASD_33_2,2
2_ASD_14_1,2
2_ASD_47_1,2
2_ASD_27_1,2
2_ASD_15_1,2
0_WW_11_1,0
0_WW_19_2,0
2_ASD_38_1,2
2_ASD_29_1,2
2_ASD_36_1,2
2_ASD_10_1,2
0_WW_40_2,0
2_ASD_19_2,2
2_ASD_40_1,2
2_ASD_4_2,2
2_ASD_14_2,2
2_ASD_43_1,2
2_ASD_33_1,2
0_WW_37_2,0
0_WW_16_2,0
0_WW_0_1,0
2_ASD_7_1,2
0_WW_15_2,0
0_WW_12_2,0
0_WW_44_2,0
2_ASD_49_2,2
0_WW_10_1,0
2_ASD_8_2,2
2_ASD_26_2,2
2_ASD_35_1,2
2_ASD_42_2,2
0_WW_18_1,0
0_WW_2_2,0
0_WW_21_1,0
0_WW_30_2,0
2_ASD_31_2,2
0_WW_29_2,0
0_WW_45_1,0
0_WW_7_1,0
2_ASD_6_2,2
2_ASD_1_1,2
0_WW_6_2,0
2_ASD_30_1,2
2_ASD_39_2,2
0_WW_38_1,0
0_WW_0_2,0
2_ASD_37_1,2
2_ASD_29_2,2
2_ASD_36_2,2
0_WW_23_2,0
0_WW_16_1,0
2_ASD_23_2,2
0_WW_49_1,0
0_WW_33_1,0
0_WW_23_1,0
0_WW_29_1,0
2_ASD_32_2,2
2_ASD_38_2,2
2_ASD_12_1,2
0_WW_41_1,0
0_WW_10_2,0
2_ASD_48_2,2
2_ASD_22_2,2
0_WW_48_1,0
2_ASD_22_1,2
2_ASD_25_2,2
2_ASD_5_1,2
0_WW_6_1,0
0_WW_46_1,0
2_ASD_44_1,2
2_ASD_5_2,2
2_ASD_6_1,2
0_WW_47_1,0
2_ASD_32_1,2
0_WW_4_1,0
2_ASD_16_2,2
0_WW_27_2,0
2_ASD_25_1,2
0_WW_13_2,0
2_ASD_4_1,2
2_ASD_18_1,2
2_ASD_19_1,2
0_WW_22_1,0
2_ASD_35_2,2
2_ASD_9_2,2
0_WW_2_1,0
0_WW_42_1,0
2_ASD_37_2,2
2_ASD_34_2,2
2_ASD_17_2,2
2_ASD_11_1,2
2_ASD_13_1,2
0_WW_14_2,0
0_WW_9_2,0
0_WW_20_1,0
2_ASD_45_1,2
0_WW_32_1,0
0_WW_17_1,0
0_WW_41_2,0
2_ASD_27_2,2
0_WW_43_1,0
0_WW_25_2,0
2_ASD_23_1,2
2_ASD_46_1,2
2_ASD_42_1,2
2_ASD_44_2,2
0_WW_5_1,0
